""	205
"affected"	9
"affecting"	1
"affection"	1
"affections"	3
"affects"	1
"affirmed"	1
"afflict"	1
"afflicted"	2
"afford"	18
"afforded"	5
"affording"	1
"affords"	6
"afishing"	8
"afoot"	1
"aforethought"	2
"afraid"	5
"africa"	2
"african"	1
"africanus"	1
"africawhat"	1
"after"	105
"afterdinner"	1
"afternoon"	19
"afternoons"	2
"afternoonsfor"	1
"afterward"	11
"afterwards"	2
"again"	99
"against"	43
"age"	19
"agent"	4
"agents"	1
"ages"	16
"aggregate"	1
"aggrieved"	1
"agitated"	4
"ago"	18
"agoing"	2
"agothat"	1
"agraping"	1
"agree"	13
"agreeable"	8
"agreed"	1
"agreement"	18
"agricola"	1
"agricultural"	2
"agriculture"	6
"agrowing"	1
"aguish"	1
"ah"	5
"ahead"	1
"ahuckleberrying"	2
"ahunting"	1
"aid"	7
"aids"	1
"ail"	2
"ailed"	1
"ailment"	1
"ails"	1
"aim"	3
"aiming"	1
"aims"	1
"air"	60
"airguns"	1
"airinflated"	1
"airs"	1
"airto"	1
"airy"	4
"aisles"	3
"ak"	1
"akimbo"	1
"akin"	1
"alabaster"	1
"alacrity"	1
"alarm"	2
"alarmed"	2
"alarming"	1
"alas"	10
"alaska"	1
"alburnum"	1
"aldebaran"	1
"alder"	4
"alderberry"	1
"alderman"	1
"aldermanic"	1
"alders"	3
"alert"	10
"alexander"	2
"algonquins"	1
"alienate"	1
"alienum"	1
"alight"	3
"alighted"	2
"alike"	4
"aliment"	2
"alive"	12
"alkali"	1
"all"	495
"allbed"	1
"allegiance"	7
"alley"	1
"alli"	1
"allied"	3
"alligator"	1
"alllooking"	1
"allow"	6
"allowance"	2
"allowancethat"	1
"allowed"	3
"allowing"	1
"allowwould"	1
"alloy"	2
"allseeing"	1
"allure"	1
"alluvion"	1
"almanac"	2
"almanachis"	1
"almond"	1
"almonds"	1
"almost"	56
"alms"	1
"almshouse"	4
"almshouses"	1
"aloft"	2
"alone"	41
"aloneand"	1
"alonebut"	1
"along"	32
"aloof"	3
"aloud"	1
"alphabet"	1
"already"	38
"also"	74
"altair"	1
"alter"	2
"alteration"	1
"altered"	1
"altering"	1
"alternate"	1
"alternately"	5
"alternating"	1
"alternative"	3
"although"	1
"altogether"	3
"altorelievo"	1
"always"	54
"am"	104
"amateur"	1
"amazement"	1
"ambassador"	1
"ambassadors"	1
"amber"	1
"ambition"	2
"ambitious"	2
"ambrosial"	1
"amend"	1
"amends"	1
"america"	13
"american"	10
"americans"	1
"americanus"	1
"amid"	17
"amidst"	3
"ammiral"	1
"amnesty"	1
"amok"	2
"among"	29
"amount"	13
"amounted"	3
"amounts"	3
"amphitheatre"	1
"ample"	3
"amuse"	1
"amused"	7
"amusement"	6
"amusements"	3
"an"	395
"analogy"	1
"analytic"	1
"ancestor"	1
"ancestors"	5
"anchor"	1
"anchored"	1
"anchors"	1
"ancient"	21
"anciently"	3
"ancients"	2
"and"	4637
"andborrrrn"	1
"andirons"	1
"anew"	2
"angel"	1
"angelo"	2
"angels"	1
"angle"	9
"angler"	1
"angles"	1
"angleworms"	1
"angrily"	1
"angry"	1
"animal"	31
"animalized"	1
"animals"	14
"animate"	1
"animated"	1
"annihilation"	1
"announces"	1
"annual"	6
"annually"	6
"anon"	3
"another"	80
"anothers"	3
"answer"	12
"answered"	14
"answering"	3
"answers"	5
"ant"	3
"ante"	1
"anticipate"	4
"anticipated"	2
"anticipation"	1
"antiquaries"	1
"antique"	1
"antiquity"	6
"ants"	5
"antus"	1
"anxiety"	7
"anxious"	5
"anxiously"	2
"any"	292
"anyand"	1
"anybody"	1
"anyone"	6
"anything"	9
"anywhere"	5
"apace"	3
"apart"	9
"apartment"	8
"apartments"	4
"apex"	1
"apexes"	1
"apios"	1
"apologies"	1
"apology"	1
"apotheosized"	1
"apparent"	1
"apparently"	14
"appeal"	5
"appear"	19
"appearance"	9
"appearances"	1
"appeared"	26
"appearing"	3
"appears"	21
"appendages"	1
"appetite"	12
"appetites"	1
"applauded"	2
"apple"	5
"apples"	7
"appletree"	2
"appletrees"	2
"appliances"	2
"applicable"	5
"applications"	1
"apply"	5
"applying"	1
"appointed"	1
"appointment"	1
"appreciate"	5
"appreciated"	4
"appreciates"	1
"appreciation"	1
"apprehend"	1
"apprehending"	1
"approach"	12
"approached"	5
"approaches"	2
"approaching"	5
"appropriate"	1
"appropriated"	1
"approving"	1
"approximation"	1
"april"	12
"apt"	1
"aqu"	1
"arabia"	1
"arabian"	1
"arabs"	3
"arbitrarily"	1
"arc"	2
"arcadia"	1
"arch"	3
"arching"	1
"architect"	1
"architects"	3
"architectural"	5
"architecture"	7
"archive"	13
"arctic"	1
"ardor"	1
"are"	694
"area"	3
"arebut"	1
"arguments"	3
"arise"	1
"arises"	1
"aristocracy"	1
"arithmetic"	4
"arm"	5
"armed"	3
"armful"	1
"arms"	3
"army"	6
"arose"	4
"around"	30
"aroused"	2
"arousing"	1
"arrange"	1
"arranged"	2
"arrangement"	1
"arrangements"	3
"array"	1
"arrival"	4
"arrivals"	2
"arrivd"	1
"arrive"	4
"arrived"	5
"arriving"	2
"arrow"	1
"arrowheads"	1
"arrowy"	1
"art"	23
"artery"	1
"arthur"	1
"article"	1
"articles"	2
"articulation"	1
"artificer"	1
"artificial"	4
"artillery"	1
"artist"	5
"artistic"	1
"arts"	10
"as"	1222
"ascend"	1
"ascertain"	1
"ascertained"	1
"ascetic"	1
"ascii"	2
"ash"	1
"ashamed"	5
"ashes"	6
"ashopping"	1
"ashore"	1
"asia"	1
"asiatic"	1
"aside"	4
"asis"	1
"ask"	12
"asked"	19
"asking"	1
"asks"	3
"asleep"	8
"aspect"	2
"aspens"	2
"aspirations"	1
"aspire"	3
"aspiresthat"	1
"aspiring"	1
"ass"	1
"assert"	2
"asserted"	1
"asserting"	1
"asserts"	2
"assessment"	1
"assessors"	1
"assiduously"	1
"assign"	1
"assigned"	2
"assimilated"	1
"assist"	2
"assistance"	3
"assisted"	3
"associated"	11
"associating"	1
"associations"	2
"assuage"	1
"assuaged"	1
"assume"	4
"assumed"	1
"assurance"	1
"assure"	2
"assured"	5
"assyriawhere"	1
"astabat"	1
"astonish"	1
"astonished"	3
"astonishing"	1
"astonishment"	2
"astor"	1
"astounding"	2
"astray"	1
"astrologically"	1
"astronomers"	2
"astronomically"	1
"astronomy"	1
"at"	664
"ate"	4
"athletes"	1
"athwart"	1
"atlantic"	3
"atlantis"	1
"atlas"	1
"atmosphere"	15
"atmospheric"	2
"atoms"	1
"atoning"	1
"atropos"	1
"attached"	5
"attaches"	1
"attacked"	1
"attain"	1
"attained"	4
"attaining"	1
"attempt"	7
"attempted"	1
"attend"	8
"attendance"	1
"attended"	5
"attention"	5
"attitude"	3
"attitudes"	1
"attorney"	1
"attract"	3
"attracted"	8
"attraction"	2
"attractions"	2
"attractive"	3
"attracts"	2
"auction"	3
"audited"	1
"auditor"	1
"augean"	1
"auger"	1
"august"	2
"aunts"	1
"aurora"	5
"auroral"	2
"auroram"	1
"austere"	1
"austerity"	1
"austerlitz"	1
"australians"	1
"author"	4
"authorities"	3
"authority"	12
"authors"	1
"autumn"	2
"autumnal"	1
"auxiliaries"	1
"avail"	3
"available"	5
"avails"	1
"avarice"	1
"avast"	1
"avenge"	1
"avenged"	1
"avenger"	2
"avenging"	1
"avenues"	2
"average"	4
"aversion"	1
"avoid"	6
"avoided"	3
"avoiding"	1
"await"	4
"awaited"	1
"awaiting"	2
"awaits"	1
"awake"	12
"awakened"	5
"awakening"	2
"awakens"	1
"awakes"	4
"aware"	7
"away"	57
"awayyou"	1
"awe"	2
"awed"	1
"awful"	2
"awning"	1
"awoke"	3
"axe"	17
"axes"	1
"axils"	1
"ay"	9
"aye"	2
"azad"	2
"azads"	1
"azure"	5
"azuretinted"	1
"b"	8
"baboons"	1
"baby"	1
"babylon"	1
"back"	30
"backgammon"	1
"backing"	1
"backs"	1
"backward"	2
"bacon"	1
"bad"	13
"bade"	1
"badge"	1
"baffins"	1
"bag"	4
"bagdad"	1
"baggage"	1
"bags"	1
"bait"	8
"baited"	4
"bake"	2
"baked"	3
"baker"	5
"bakers"	2
"bakes"	1
"bakingkettle"	1
"balance"	1
"balanced"	1
"balancing"	2
"balcom"	1
"baldest"	1
"bales"	1
"balked"	2
"ball"	4
"balloon"	1
"balls"	2
"baltimore"	1
"bandbox"	1
"bands"	2
"banish"	1
"banished"	1
"bank"	13
"bankfor"	1
"bankrupt"	1
"bankruptcy"	1
"banks"	7
"banner"	1
"bar"	9
"barb"	1
"barbaric"	1
"barbarous"	5
"barber"	1
"barberrys"	1
"bare"	12
"barefooted"	1
"bargain"	6
"bark"	21
"barked"	2
"barking"	5
"barks"	1
"barn"	9
"barns"	2
"barnyard"	2
"barred"	1
"barrel"	1
"barrelful"	1
"barrels"	1
"barroom"	3
"bars"	1
"barter"	1
"bartram"	1
"bascoms"	1
"base"	1
"based"	3
"basin"	3
"basis"	4
"basket"	2
"baskets"	6
"bass"	1
"bath"	1
"bathe"	4
"bathed"	5
"bather"	2
"bathing"	2
"battering"	1
"battle"	9
"battlecry"	1
"battlefield"	1
"battles"	2
"bawbles"	1
"bay"	5
"baying"	1
"bayou"	1
"bayous"	1
"bays"	4
"be"	753
"beach"	2
"beaches"	1
"beacon"	1
"beacons"	1
"beads"	1
"beam"	1
"bean"	5
"beanfield"	7
"beanfieldeffect"	1
"beans"	35
"bear"	11
"beard"	1
"bearers"	1
"bearing"	8
"bearingsnot"	1
"bears"	3
"beast"	4
"beastly"	1
"beasts"	6
"beat"	4
"beaten"	3
"beautiful"	21
"beautifully"	5
"beauty"	18
"beauxarts"	1
"became"	14
"because"	62
"become"	38
"becomes"	16
"becoming"	4
"bed"	20
"bedded"	1
"bedfellow"	1
"bedford"	1
"beds"	2
"bedstead"	1
"bedsteadsbecause"	1
"beech"	2
"beechen"	1
"beechtree"	1
"beef"	3
"been"	168
"bees"	2
"beets"	1
"befell"	1
"before"	136
"beforebarn"	1
"beforehand"	2
"befriended"	1
"began"	30
"beggarly"	1
"beggars"	1
"beggarticks"	1
"begin"	17
"beginners"	1
"beginning"	14
"beginnings"	1
"begins"	6
"begun"	6
"behalf"	1
"behave"	2
"behaved"	2
"behavior"	3
"behaviors"	1
"beheld"	2
"behind"	51
"behindhand"	1
"behold"	11
"beholder"	3
"beholding"	3
"beholds"	2
"behooves"	1
"behoves"	1
"being"	105
"beings"	4
"beingsome"	1
"belfry"	1
"belief"	1
"belies"	1
"believe"	23
"believed"	4
"believes"	1
"believethat"	1
"bell"	13
"bella"	1
"belleslettres"	1
"bellowing"	1
"bellows"	1
"bellrope"	1
"bells"	4
"bellum"	1
"bellwether"	1
"belly"	3
"belong"	5
"belonged"	4
"belonging"	1
"belongs"	4
"beloved"	1
"below"	11
"belt"	3
"belts"	1
"ben"	2
"bench"	1
"bencher"	1
"bend"	1
"bended"	1
"bending"	3
"bends"	1
"bene"	2
"beneath"	19
"benefactor"	4
"benefactors"	2
"beneficence"	3
"beneficent"	4
"benefit"	5
"benefited"	1
"benevolence"	1
"bent"	8
"benumbeth"	1
"benvenuto"	1
"bequeathed"	1
"berries"	6
"berrying"	1
"beseechingly"	1
"beset"	1
"beside"	22
"besides"	2
"best"	52
"bestow"	4
"bestowed"	3
"bestower"	1
"bestows"	1
"bethe"	1
"betimes"	1
"betray"	6
"betrayed"	5
"betraying"	1
"betrays"	1
"better"	69
"betting"	1
"between"	51
"beverage"	2
"beware"	1
"bey"	1
"beyond"	17
"bhagvat"	1
"bhagvatgeeta"	1
"biassed"	1
"bible"	2
"bibles"	4
"biblical"	1
"bicolor"	1
"bidding"	2
"biennials"	1
"big"	9
"bigger"	1
"biggest"	1
"bights"	1
"bill"	3
"billows"	1
"bills"	3
"binary"	1
"biography"	1
"biped"	1
"birch"	6
"birches"	2
"bird"	18
"birds"	35
"birdsdecent"	1
"birdsthink"	1
"birth"	5
"bison"	3
"bite"	1
"biting"	1
"bits"	1
"bitter"	1
"bittern"	1
"black"	22
"blackberries"	2
"blackberry"	5
"blackbirch"	2
"blacker"	1
"blacks"	1
"blackschooner"	1
"blacksmith"	1
"blade"	1
"blades"	4
"blake"	1
"blame"	1
"blanchard"	1
"blanched"	1
"blast"	2
"blasted"	1
"blasts"	2
"bleach"	1
"bleak"	1
"bleating"	1
"bleeds"	1
"bless"	2
"blessed"	2
"blessing"	4
"blew"	1
"blind"	3
"blindly"	3
"blinds"	1
"blistered"	1
"bloated"	1
"block"	1
"blocks"	1
"blood"	12
"bloodred"	1
"bloods"	1
"bloodsucker"	1
"bloody"	1
"bloom"	4
"blooming"	2
"blossom"	2
"blossoms"	1
"blotting"	1
"blow"	8
"blowing"	3
"blown"	7
"blows"	8
"blue"	23
"blueberries"	1
"blueberry"	1
"bluebird"	2
"bluejay"	1
"bluer"	1
"bluerobed"	1
"blues"	1
"bluest"	1
"bluish"	1
"bluishgreen"	1
"blunder"	2
"blundering"	2
"blunt"	1
"blush"	4
"blushes"	1
"blustering"	1
"board"	16
"boarded"	3
"boarding"	1
"boardmay"	1
"boards"	14
"boast"	5
"boasting"	1
"boat"	26
"bodies"	16
"bodily"	5
"body"	35
"bog"	5
"bogging"	3
"boggy"	1
"bogholes"	1
"bogs"	1
"bogtrotting"	1
"boil"	2
"boiled"	6
"boiling"	2
"boisterous"	2
"bold"	6
"bolder"	1
"boldly"	1
"bole"	1
"bolsters"	1
"bolt"	2
"bolted"	1
"bolts"	2
"bombay"	1
"bonaparte"	1
"bone"	2
"bones"	8
"bonfire"	1
"bonnet"	1
"bony"	2
"booby"	1
"boohoo"	4
"book"	15
"books"	25
"boom"	2
"boomed"	1
"booming"	2
"boots"	3
"bopeep"	1
"border"	3
"borderers"	1
"borders"	1
"bore"	3
"bored"	2
"bores"	1
"born"	11
"borne"	3
"borrow"	2
"borrowed"	4
"borrowing"	1
"borrrrn"	2
"bose"	2
"bosom"	5
"boss"	2
"boston"	12
"botanic"	2
"both"	39
"bother"	1
"bottle"	2
"bottlefull"	2
"bottles"	2
"bottom"	55
"bottomless"	5
"bottomlessness"	1
"bottoms"	1
"bough"	7
"boughs"	7
"bought"	12
"bounce"	2
"bound"	9
"boundaries"	1
"boundary"	3
"bounded"	3
"bounding"	1
"boundless"	2
"bounds"	4
"bounteous"	1
"bouquet"	1
"bout"	1
"bow"	1
"bowels"	5
"bower"	1
"bowers"	1
"bowl"	2
"bowlders"	1
"bowls"	1
"bows"	1
"box"	6
"boxes"	2
"boy"	17
"boyhood"	1
"boys"	15
"bracing"	1
"brag"	2
"brahma"	4
"brahme"	1
"brahmins"	1
"brain"	5
"brainrot"	1
"brains"	3
"brakemen"	1
"brakes"	1
"bramin"	1
"bran"	1
"branch"	3
"branches"	4
"brands"	1
"brandy"	1
"brass"	4
"brat"	1
"brave"	11
"bravely"	1
"bravery"	2
"brazen"	1
"breach"	2
"bread"	26
"breadmaking"	1
"breadstuffs"	1
"breadth"	13
"breadthwise"	1
"break"	11
"breakfast"	1
"breakfasts"	1
"breaking"	6
"breaks"	4
"bream"	1
"breams"	1
"breast"	7
"breastplate"	1
"breasts"	2
"breath"	15
"breathe"	3
"breathed"	2
"breathes"	2
"breathing"	1
"bred"	1
"breeches"	1
"breed"	1
"breeds"	2
"breeze"	4
"breezes"	1
"brick"	4
"bricks"	11
"bridge"	2
"bridged"	1
"bridgesa"	1
"bright"	22
"brighten"	1
"brighter"	1
"brightly"	1
"brightness"	3
"brightonor"	1
"brighttownwhich"	1
"brilliant"	3
"bring"	7
"bringing"	2
"brings"	3
"brister"	3
"bristers"	8
"bristerscipio"	1
"bristling"	1
"britain"	1
"british"	3
"brittle"	1
"broad"	20
"broadcast"	1
"broader"	1
"broadest"	2
"broadfaced"	2
"broadway"	2
"broke"	6
"broken"	15
"broker"	1
"bronze"	2
"brood"	4
"brook"	5
"brooks"	2
"broom"	1
"brother"	2
"brothers"	2
"brought"	19
"brow"	3
"brown"	8
"brownbread"	1
"brownishgray"	1
"brownthrasher"	1
"brownthrasheror"	1
"brows"	3
"browsed"	1
"browsing"	1
"brush"	2
"brushthis"	1
"brushy"	1
"brutal"	1
"brute"	10
"brutes"	2
"brutish"	2
"bubble"	3
"bubbles"	14
"bucket"	2
"buckets"	2
"buckeye"	1
"buckled"	1
"bud"	2
"budding"	1
"budget"	1
"buds"	4
"buena"	1
"buffalo"	2
"buffet"	1
"bug"	2
"buginewhich"	1
"build"	15
"builded"	1
"builder"	3
"builderout"	1
"builders"	1
"building"	12
"buildings"	2
"builds"	1
"built"	28
"bulk"	2
"bulkhead"	1
"bull"	2
"bulldogs"	1
"bullet"	2
"bullfight"	1
"bullfrogs"	2
"bulrush"	2
"bumblebee"	1
"bunch"	3
"bundle"	4
"bunker"	1
"buoyancy"	1
"buoyant"	1
"buoys"	1
"burden"	5
"burghers"	1
"burgoynehe"	1
"buried"	10
"buries"	1
"burn"	8
"burned"	18
"burning"	5
"burningglasses"	1
"burnt"	1
"burrow"	8
"burrowing"	2
"burrows"	2
"burrs"	3
"burs"	1
"burst"	5
"bursting"	1
"bursts"	4
"bury"	3
"buryingground"	1
"bush"	1
"bushel"	5
"bushels"	4
"bushes"	8
"bushy"	2
"business"	31
"busk"	2
"bust"	1
"bustle"	1
"bustling"	1
"busy"	5
"but"	806
"butcher"	2
"butchers"	1
"butt"	2
"buttend"	1
"butter"	5
"butterflies"	1
"butterfly"	5
"buttermilk"	1
"buttonwoods"	1
"buttrickfire"	1
"buy"	19
"buying"	1
"buys"	3
"buzzing"	1
"by"	719
"byword"	1
"c"	13
"cabin"	5
"cabins"	1
"cable"	1
"cackle"	1
"cackling"	2
"cadaverous"	1
"cadis"	1
"caged"	1
"cake"	4
"cakes"	5
"calculable"	1
"calculate"	3
"calculated"	4
"calculation"	2
"calculator"	2
"calculators"	1
"calcutta"	1
"calf"	1
"calfs"	1
"calidas"	1
"california"	1
"caliphs"	1
"calked"	1
"call"	25
"called"	55
"calleda"	1
"calling"	7
"callous"	1
"callow"	1
"calls"	6
"calm"	11
"calves"	1
"camar"	1
"cambridge"	6
"came"	100
"camp"	4
"camped"	1
"camps"	1
"can"	193
"canada"	3
"canadian"	4
"canal"	2
"candahars"	1
"candidate"	1
"candidates"	1
"candles"	1
"canine"	1
"cankerrash"	1
"cannibal"	1
"cannibals"	1
"cannon"	1
"cannot"	74
"canoe"	3
"cans"	1
"cant"	2
"cantering"	1
"canvas"	1
"cap"	6
"capable"	2
"capacious"	2
"capacities"	1
"capacity"	3
"cape"	2
"capes"	3
"capital"	7
"captain"	3
"captured"	1
"car"	3
"caravansary"	1
"caraway"	1
"carbuncles"	1
"card"	2
"cards"	2
"care"	14
"cared"	3
"career"	1
"careering"	1
"careful"	4
"carefully"	10
"careless"	1
"carelessly"	2
"cares"	1
"carew"	1
"caribou"	1
"caritatem"	1
"carload"	3
"carloads"	1
"carlos"	1
"carmine"	1
"carnage"	2
"carnivorous"	1
"carolina"	1
"carols"	1
"carpenter"	2
"carpentry"	1
"carpet"	2
"carpeted"	1
"carpets"	1
"carriage"	3
"carried"	20
"carrier"	1
"carrion"	2
"carry"	20
"carrying"	6
"cars"	15
"cart"	6
"carting"	1
"cartloads"	3
"cartpath"	3
"carts"	4
"carve"	2
"carved"	1
"caryatides"	1
"case"	30
"cases"	11
"casewhy"	1
"cashiered"	1
"casings"	1
"casket"	1
"casks"	2
"cassiopeias"	1
"cast"	12
"castalian"	1
"casting"	2
"castle"	2
"castles"	3
"castoff"	1
"casts"	3
"casual"	1
"casualties"	1
"cat"	15
"catch"	15
"catching"	4
"catechism"	1
"caterpillar"	2
"caterpillars"	1
"catholic"	1
"cato"	6
"catos"	1
"catowl"	2
"cats"	2
"catt"	1
"cattails"	1
"cattle"	12
"cattleshows"	1
"cattletrain"	1
"caught"	20
"cause"	13
"caused"	4
"causes"	4
"causeway"	3
"causing"	2
"cave"	5
"cavernlike"	1
"cavernous"	2
"caves"	2
"cavillers"	1
"caving"	1
"cavities"	1
"cavity"	1
"cease"	3
"ceased"	6
"ceaseless"	1
"ceaselessly"	1
"ceases"	1
"ceasing"	1
"cedar"	1
"cedarfirst"	1
"ceiling"	2
"celebrate"	1
"celebrated"	5
"celebrates"	1
"celebrating"	1
"celestial"	9
"cell"	2
"cellam"	1
"cellar"	27
"cellars"	3
"cellini"	1
"cellinis"	1
"cells"	1
"cellular"	3
"celt"	1
"celtis"	1
"cement"	1
"cements"	1
"cemeteries"	1
"cent"	3
"centipede"	1
"central"	1
"centre"	5
"cents"	11
"centuries"	5
"century"	6
"cerasus"	1
"cerberus"	1
"cereal"	1
"cerealian"	1
"ceremonies"	1
"ceremony"	4
"ceres"	3
"certain"	33
"certainly"	13
"certainty"	1
"cerulean"	1
"cessation"	1
"chain"	3
"chained"	1
"chains"	1
"chair"	3
"chairs"	6
"chaise"	1
"chaises"	1
"chalk"	1
"chalmers"	1
"chamber"	3
"chambers"	3
"champion"	2
"champlain"	1
"champollion"	1
"chance"	5
"chanced"	6
"change"	19
"changeable"	1
"changed"	8
"changes"	5
"changing"	1
"channel"	5
"channels"	3
"chanted"	1
"chanticleer"	2
"chaos"	1
"chapman"	1
"chaps"	2
"chapter"	1
"character"	26
"characteristic"	1
"characters"	4
"charche"	1
"charge"	8
"charged"	1
"charges"	1
"chariot"	1
"charitable"	2
"charities"	1
"charity"	7
"charleston"	1
"charm"	1
"charmed"	1
"charming"	1
"chart"	1
"chase"	3
"chasm"	3
"chaste"	2
"chastity"	2
"chat"	1
"chatted"	1
"chattering"	1
"chaucers"	1
"che"	1
"cheap"	9
"cheaper"	7
"cheapest"	1
"cheaply"	1
"cheat"	1
"cheated"	5
"check"	3
"checked"	2
"checker"	1
"checkered"	1
"checks"	1
"cheek"	5
"cheeks"	2
"cheeping"	1
"cheer"	4
"cheered"	4
"cheerful"	9
"cheerfully"	5
"cheering"	3
"cheers"	1
"cheese"	2
"chemic"	1
"chemistry"	1
"chequers"	1
"cherish"	5
"cherished"	2
"cherries"	1
"cherry"	1
"chest"	3
"chestnut"	4
"chestnuts"	2
"chew"	1
"chewed"	2
"chewink"	1
"chiccory"	1
"chickadee"	1
"chickadees"	2
"chicken"	2
"chickens"	5
"chiding"	1
"chief"	8
"chiefly"	16
"child"	10
"childers"	1
"childhood"	2
"childish"	1
"children"	24
"childrens"	2
"chilled"	1
"chilling"	1
"chimney"	11
"chimneys"	1
"chin"	3
"china"	3
"chinamen"	1
"chinese"	5
"chinks"	3
"chip"	9
"chips"	6
"chirp"	1
"chirruped"	1
"chirruping"	1
"chisel"	1
"chivalry"	1
"chivin"	1
"chivins"	1
"chocolate"	1
"choice"	3
"choicest"	1
"choir"	1
"chokes"	1
"choose"	5
"chop"	1
"chopped"	1
"chopper"	1
"chopping"	4
"chose"	2
"chosen"	6
"chowder"	1
"christ"	4
"christen"	1
"christian"	4
"christianity"	3
"christiern"	1
"chronologies"	1
"chuckle"	3
"chuckling"	1
"church"	8
"churches"	2
"churchyard"	1
"churn"	1
"cider"	1
"cidera"	1
"ciderish"	1
"cigar"	1
"cimeter"	1
"cinderellawithout"	1
"cinders"	1
"cinquefoil"	1
"cipher"	1
"circle"	6
"circled"	2
"circles"	9
"circling"	7
"circuit"	2
"circular"	3
"circulate"	2
"circulated"	2
"circulating"	3
"circulation"	2
"circulations"	1
"circumference"	1
"circumspection"	1
"circumspectionto"	1
"circumstance"	2
"circumstances"	15
"circumstanceshave"	1
"circumstantial"	1
"citadel"	1
"cities"	3
"citizen"	5
"citizens"	4
"city"	14
"citys"	1
"civil"	12
"civility"	2
"civilization"	12
"civilizationtaking"	1
"civilized"	20
"clad"	4
"claim"	3
"claimed"	2
"claims"	1
"clammy"	1
"clamor"	1
"clangor"	3
"clarified"	3
"clarifying"	1
"clarions"	1
"clarke"	1
"clasp"	1
"class"	8
"classbooks"	1
"classed"	1
"classes"	2
"classic"	4
"classics"	7
"clat"	1
"claws"	1
"clay"	8
"clean"	17
"cleaned"	3
"cleaner"	2
"cleanest"	1
"cleaning"	1
"cleanse"	1
"cleansed"	4
"clear"	17
"cleared"	3
"clearer"	1
"clearheadedness"	1
"clearing"	7
"clearly"	4
"cleavages"	1
"cleaver"	1
"cleft"	1
"clergyman"	1
"clever"	2
"cliff"	1
"cliffs"	1
"cliffy"	1
"climate"	3
"climates"	4
"climb"	1
"climbed"	1
"climbing"	1
"climes"	4
"clinch"	1
"clinched"	1
"cling"	1
"clinging"	1
"clock"	3
"clocks"	2
"clogs"	1
"close"	17
"closed"	1
"closefitting"	1
"closely"	3
"closer"	3
"closes"	1
"closest"	1
"closet"	2
"closing"	1
"cloth"	3
"clothe"	5
"clothed"	2
"clothes"	29
"clotheshis"	1
"clothing"	18
"clothosilver"	1
"cloths"	1
"cloud"	11
